year,month,day,NSI
2008,5,3,115.43
2008,5,4,115.85
2008,5,5,116.09
2008,5,6,113.59
2008,5,7,113.08
2008,5,8,113.63
2008,5,9,117.38
2008,5,10,113.6
2008,5,11,111.67
2008,5,12,112.95
2008,5,13,112.11
2008,5,14,110.05
2008,5,15,108.79
2008,5,16,110.04
2008,5,17,111.48
2008,5,18,112.54
2008,5,19,113.39
2008,5,20,114.41
2008,5,21,113.5
2008,5,22,112.57
2008,5,23,109.61
2008,5,24,108.13
2008,5,25,108.54
2008,5,26,103.8
2008,5,27,100.04
2008,5,28,100.95
2008,5,29,101.46
2008,5,30,101.83
2008,5,31,101.9
2008,6,1,100.71
2008,6,2,103.36
2008,6,3,104.83
2008,6,4,102.53
2008,6,5,103.04
2008,6,6,102.46
2008,6,7,101.19
2008,6,8,100.68
2008,6,9,99.15
2008,6,10,97.25
2008,6,11,94.67
2008,6,12,91.74
2008,6,13,88.23
2008,6,14,85.32
2008,6,15,82.44
2008,6,16,77.94
2008,6,17,77.38
2008,6,18,78.25
2008,6,19,77.39
2008,6,20,77.24
2008,6,21,78.64
2008,6,22,80.93
